Unibet_ID,Unibet_URL,Unibet_Name,Fotmob_URL,Fotmob_Name,Match_Type,Country/Region
1000305993,https://www.unibet.com.au/betting/sports/filter/football/turkey/1_lig,1. Lig,https://www.fotmob.com/leagues/165,1. Lig,Exact Match,Turkey
1000094633,https://www.unibet.com.au/betting/sports/filter/football/france/trophee_des_champions,"Trophée des Champions",https://www.fotmob.com/leagues/207,"Super Cup",Different Name,France
1000094970,https://www.unibet.com.au/betting/sports/filter/football/brazil/paulista_a1,Paulista A1,https://www.fotmob.com/leagues/10244,Paulista A1,Exact Match,Brazil
2000052731,https://www.unibet.com.au/betting/sports/filter/football/cyprus/2nd_division,2nd Division,https://www.fotmob.com/leagues/9100,2. Division,Different Name,Cyprus
1000094984,https://www.unibet.com.au/betting/sports/filter/football/england/fa_cup,FA Cup,https://www.fotmob.com/leagues/132,FA Cup,Exact Match,England
2000050345,https://www.unibet.com.au/betting/sports/filter/football/england/fa_trophy,FA Trophy,https://www.fotmob.com/leagues/9253,FA Trophy,Exact Match,England
1000095485,https://www.unibet.com.au/betting/sports/filter/football/england/national_league,National League,https://www.fotmob.com/leagues/117,National League,Exact Match,England
"2000055849","https://www.unibet.com.au/betting/sports/filter/football/england/super_league_parenplaceholder0","Super League (W)","https://www.fotmob.com/leagues/9227","WSL","Different Name","England"
"2000080468","https://www.unibet.com.au/betting/sports/filter/football/england/the_championship_parenplaceholder0","The Championship (W)","https://www.fotmob.com/leagues/9294","WSL 2","Different Name","England"
1000094990,https://www.unibet.com.au/betting/sports/filter/football/france/coupe_de_france,Coupe de France,https://www.fotmob.com/leagues/134,Coupe de France,Exact Match,France
1000094994,https://www.unibet.com.au/betting/sports/filter/football/germany/bundesliga,Bundesliga,https://www.fotmob.com/leagues/54,Bundesliga,Exact Match,Germany
1000094996,https://www.unibet.com.au/betting/sports/filter/football/greece/super_league,Super League,https://www.fotmob.com/leagues/135,Super League,Exact Match,Greece
2000122597,https://www.unibet.com.au/betting/sports/filter/football/greece/super_league_2,Super League 2,https://www.fotmob.com/leagues/8815,Super League 2 Grp. B,Different Name,Greece
1000095002,https://www.unibet.com.au/betting/sports/filter/football/italy/serie_b,Serie B,https://www.fotmob.com/leagues/86,Serie B,Exact Match,Italy
1000451251,https://www.unibet.com.au/betting/sports/filter/football/mexico/liga_de_expansion_mx,Liga de Expansion MX,https://www.fotmob.com/leagues/8976,Liga de Expansion MX Clausura,Different Name,Mexico
1000094112,https://www.unibet.com.au/betting/sports/filter/football/mexico/liga_mx,Liga MX,https://www.fotmob.com/leagues/230,Liga MX Clausura,Different Name,Mexico
1000094980,https://www.unibet.com.au/betting/sports/filter/football/netherlands/eredivisie,Eredivisie,https://www.fotmob.com/leagues/57,Eredivisie,Exact Match,Netherlands
2000095410,https://www.unibet.com.au/betting/sports/filter/football/netherlands/tweede_divisie,Tweede Divisie,https://www.fotmob.com/leagues/9195,Tweede Divisie,Exact Match,Netherlands
2000050064,https://www.unibet.com.au/betting/sports/filter/football/northern_ireland/irish_cup,Irish Cup,https://www.fotmob.com/leagues/9389,Irish Cup,Different Name,Northern Ireland
1000095045,https://www.unibet.com.au/betting/sports/filter/football/scotland/championship,Championship,https://www.fotmob.com/leagues/123,Championship,Exact Match,Scotland
1000095047,https://www.unibet.com.au/betting/sports/filter/football/scotland/scottish_premiership,Scottish Premiership,https://www.fotmob.com/leagues/64,Premiership,Different Name,Scotland
1000095049,https://www.unibet.com.au/betting/sports/filter/football/spain/la_liga,La Liga,https://www.fotmob.com/leagues/87,LaLiga,Different Name,Spain
1000094708,https://www.unibet.com.au/betting/sports/filter/football/spain/la_liga_2,La Liga 2,https://www.fotmob.com/leagues/140,LaLiga2,Different Name,Spain
"2000051626","https://www.unibet.com.au/betting/sports/filter/football/spain/primera_division_parenplaceholder0","Primera División (W)","https://www.fotmob.com/leagues/9907","Liga F","Different Name","Spain"
